PALABRA CLAVE;HOMOLOGACION
GOMIX GOMITAS;VITAMINAS & MINERALES
H&S;HIGIENE Y CUIDADO CAPILAR
HEAD & SHOULDERS;HIGIENE Y CUIDADO CAPILAR
HEAD & SHOULDERS;CUIDADO PERSONAL
HEAD &SHOULDERS;HIGIENE Y CUIDADO CAPILAR
HEAD&SHOULDERS;CUIDADO PERSONAL
HELTY;HIGIENE Y CUIDADO CAPILAR
HERBAL ESSENCES;HIGIENE Y CUIDADO CAPILAR
HIGIENE ÍNTIMA;CUIDADO ÍNTIMO
HIPERTENSIÓN;SISTEMA CARDIOVASCULAR
HIPOTIROIDISMO;SISTEMA ENDOCRINO
HUGGIES;CUIDADO INFANTIL
HYDROLYZED;COMPLEMENTO DIETETICO & FITNESS
IRONMASTER;EQUIPOS Y/O ARTICULOS FITNESS
ISDIN;CUIDADO CORPORAL DERMO
JABÓN;CUIDADO PERSONAL
JABONES;CUIDADO PERSONAL
JOHNSON´S;CUIDADO INFANTIL
JOHNSON'S;CUIDADO INFANTIL
JUGUETE;CONSUMO
KATIVA;BELLEZA
KOTEX;PROTECCION INTIMA FEMENINA
LADYSOFT;PROTECCION INTIMA FEMENINA
LINEA DE BAÑO;CUIDADO PERSONAL
LISTERINE;HIGIENE Y CUIDADO BUCAL
LOREAL;BELLEZA
L'ORÉAL;BELLEZA
MAGNESOL;VITAMINAS & MINERALES
MAMELUCO;EQUIPOS MEDICOS Y SUMINISTROS
MASCARILLA;MASCARILLAS
MASCARILLAS;MASCARILLAS
MAYBELLINE;BELLEZA
MEDICAMENTOS;FARMA
MICELAR;HIGIENE Y CUIDADO CAPILAR
MICELARES;HIGIENE Y CUIDADO CAPILAR
MIGRAÑA;CEREBRO Y SISTEMA NERVIOSO
MULTI-BIÓTICOS;SISTEMA RESPIRATORIO
NACHO;CUIDADO PERSONAL
NAN OPTIPRO;FORMULA LACTEA
NAT B;MAQUILLAJE / ACCESORIO COSMETICO
NAT-B;MAQUILLAJE / ACCESORIO COSMETICO
NEUTROGENA;MAQUILLAJE / ACCESORIO COSMETICO
NEUTRÓGENA;MAQUILLAJE / ACCESORIO COSMETICO
NIACINAMIDE;CUIDADO FACIAL DERMO
NINET;CUIDADO INFANTIL
NIPRO;EQUIPOS MEDICOS Y SUMINISTROS
NIVEA;CUIDADO PERSONAL
NUTRIADVANCE;CUIDADO INFANTIL
NUTRICIÓN;CUIDADO INFANTIL
NUTRICIONAL;CUIDADO INFANTIL
NUTRIDO;CUIDADO INFANTIL
NUTRIENTES;CUIDADO INFANTIL
NUTRIR;CUIDADO INFANTIL
NUTRITION;CUIDADO INFANTIL
OLD SPICE;CUIDADO PERSONAL
OMRON;EQUIPOS MEDICOS Y SUMINISTROS
OPTI-FREE;CUIDADO PERSONAL
ORAL B;HIGIENE Y CUIDADO BUCAL
ORAL B:;HIGIENE Y CUIDADO BUCAL
OXÍMETRO;EQUIPOS MEDICOS Y SUMINISTROS
PAMPERS;CUIDADO INFANTIL
PANADOL;ANALGESICOS
PANADOR;ANALGESICOS
PANTENE;HIGIENE Y CUIDADO CAPILAR
PAÑAL;CUIDADO INFANTIL
PAÑALES;CUIDADO INFANTIL
PAÑITOS PARA TU BEBÉ;CUIDADO INFANTIL
PEDIASURE;CUIDADO INFANTIL
PERFUMERIA;CONSUMO
PERFUMERÍA;CONSUMO
PIEL HIDRATADA;CUIDADO PERSONAL
PIEL PROTEGIDA;DERMACOSMETICA
PLENITUD PROTECT;CUIDADO ADULTO MAYOR
POND´S;BELLEZA
POSAY;FOTOPROTECCIÓN
PREIMUM BL;CUIDADO ADULTO MAYOR
PRESERVATIVO;CUIDADO Y BIENESTAR SEXUAL
PRESERVATIVOS;CUIDADO Y BIENESTAR SEXUAL
PROGRESS GOLD;FORMULA LACTEA
PROMISE;SUPLEMENTO Y/O COMPLEMENTO PEDIATRICO
PROTECTOR DIARIO;PROTECCION INTIMA FEMENINA
PROTECTORES DIARIOS;PROTECCION INTIMA FEMENINA
PRUEBAS COVID-19;AGENTE DE DIAGNOSTICO
PURIFIED;CUIDADO FACIAL
REDOXITOS;VITAMINAS & MINERALES
REDOXON;VITAMINAS & MINERALES
REXONA;CUIDADO PERSONAL
SABAMED;HIGIENE Y CUIDADO CAPILAR
SAITAL;HIGIENE Y CUIDADO CAPILAR
SALUD Y BIENESTAR;SALUD Y BIENESTAR
SAVITAL;HIGIENE Y CUIDADO CAPILAR
SECOS PANTS;CUIDADO ADULTO MAYOR
SECOS PREMIUM;CUIDADO ADULTO MAYOR
SENSODYNE;HIGIENE Y CUIDADO BUCAL
SESDERMA;BELLEZA
SGT;CUIDADO PERSONAL
SHAMPOO;HIGIENE Y CUIDADO CAPILAR
SIMILAC;FORMULA LACTEA
SKINACTIVE;CUIDADO FACIAL
SUGAFOR;CUIDADO PREVENTIVO / MICRONUTRIENTES
SUNVIT;NATURALES Y/O NUTRACÉUTICOS
SUPLEMENTOS;VITAMINAS & MINERALES
SYSTANE;CUIDADO DE OJOS Y OIDOS
TENSIÓMETRO;EQUIPOS MEDICOS Y SUMINISTROS
TERMÓMETRO;EQUIPOS MEDICOS Y SUMINISTROS
TERMÓMETRO INFRARROJO;EQUIPOS MEDICOS Y SUMINISTROS
TEVA;SISTEMA REPRODUCTIVO
TOALLAS HÚMEDAS;TOALLA HÚMEDA
TOALLAS HÚMEDAS PEQUEÑIN;TOALLA HÚMEDA
TOALLITA HÚMEDA BL;TOALLA HÚMEDA
TOALLITAS;CUIDADO INFANTIL
TOTAL DENT;HIGIENE Y CUIDADO BUCAL
TOTALDENT;HIGIENE Y CUIDADO BUCAL
VICK;SISTEMA RESPIRATORIO
VINYL;GUANTE QUIRURGICO
VIT C;HIGIENE Y CUIDADO CAPILAR
VITAGEL;HIGIENE Y CUIDADO BUCAL
VITAMINA;VITAMINAS & MINERALES
VITAMINA;FOTOPROTECCIÓN
VITAMINAS;VITAMINAS & MINERALES
VITAMINS;VITAMINAS & MINERALES
VITIS;HIGIENE Y CUIDADO BUCAL
VIVACTIC;VITAMINAS & MINERALES
VIVACTIV;VITAMINAS & MINERALES
ZINC MASON;VITAMINAS & MINERALES
